	BCL-g1	BCL-g1	BCL-g1	BCL-g2	BCL-g2	BCL-g2	BCL-g3	BCL-g3	BCL-g3	H1-g1	H1-g1	H1-g1	H1-g2	H1-g2	H1-g2	H1-g3	H1-g3	H1-g3	H2-g1	H2-g1	H2-g1	H2-g2	H2-g2	H2-g2	H2-g3	H2-g3	H2-g3
A22										0	1	0	0	0	0	0	0	0	0	0	0						
A21				2	2	4										0	0	0				5	5	3			
A20				0	0	1	3	2	2										21	18	23				14	16	12
A19													29	37	42												
A18	2	0	3	10	12	11	15	14	6	6	9	6				4	2	4	28	27	30	13	13	13			
A17										1	1	0	37	39	43	1	0	2	4	6	7						
A16				8	8	12	27	27	15				9	12	19				1	1	2				21	22	22
A15													8	11	0	4	5	6									
A14				26	25	24																					
A13	1	1	2							15	16	13							30	29	31				53	58	56
A12				18	14	17																21	23	21			
A11	2	0	1				15	15	8	2	2	2				3	1	5	43	40	42				38	34	29
A10																											
A9	1	1	0							21	30	24	0	7	9				5	5	8	2	2	2	4	5	5
A8	0	0	0	10	11	11							0	3	2							5	2	1			
A7	0	0	0							0	0	0	0	1	1										39	40	33
A6							4	0	1													2	2	2			
A5													0	0	0	1	0	0				0	0	1	1	2	0
A4	1	1	0																			0	0	0			
A3																0	0	0				2	1	0			
A2																						0	0	0			
A1							2	0	2				0	0	0	1	0	0									
