	BCL-g1	BCL-g1	BCL-g1	BCL-g2	BCL-g2	BCL-g2	BCL-g3	BCL-g3	BCL-g3	H1-g1	H1-g1	H1-g1	H1-g2	H1-g2	H1-g2	H1-g3	H1-g3	H1-g3	H2-g1	H2-g1	H2-g1	H2-g2	H2-g2	H2-g2	H2-g3	H2-g3	H2-g3	BCL-g4	BCL-g4	BCL-g4	H1-g4	H1-g4	H1-g4	H2-g4	H2-g4	H2-g4	H3-g4	H3-g4	H3-g4	TRAC-g4	TRAC-g4	TRAC-g4
A21	0	0	0	0	3	0							0	0	0							0	0	1				0	1.18	0												
A20	0	0	0							7	6	19										0	1	2																		
A19							33	33	31																			23.58	21.25	17.21												
A18																			9	10	8							0	0	4.74							30.814	14.442	27.178	14.13	12.27	9.69
A17																			13	13	11	7	9	10										1.668	2.628	0.97						
A16																												58.52	51.42	33.574												
A15	1	0	0	8	10	10							6	9	6				42	40	39	45	46	46	21	25	23	22.29	15.78	11.34												
A14				9	9	7				10	10	18	8	9	8										12	17	16															
A13				3	8	7	42	57	53				16	24	20										16	19	18	58.73	50.15	32.677												
A12										12	14	25				16	18	11							22	26	23				25	23	24	20.518	22.448	20.48						
A11													28	44	33							41	41	44																		
A10	0	1	1																						25	31	30	63.34	58.07	35.602												
A9							42	32	26							17	20	13	34	34	33													33.387	37.807	36.01	58.128	32.244	52.475			
A8																			14	13	13	44	44	48				0	0	0										32.33	37.26	16.68
A7				7	4	7							15	17	15	8	10	6	9	7	11										0	0	1									
A6				0	0	0				2	2	1																			0	0	0				31.087	16.275	27.78			
A5				0	0	0													2	1	1	1	2	1																8.46	14.25	3.97
A4													0	3	0				0	0	0				0	0	0													0.33	1.97	0
A3	0	0	0																																					0	1.58	1.41
A2	0	0	0	0	0	0	0	0	0																0	0	0													0.23	0	2.04
A1																0	0	0										0.28	0	0	0	0	0	0	0.284	0.19	3.817	0.809	0.53	0	0	0.44
