	BCL-g1	BCL-g1	BCL-g1	BCL-g2	BCL-g2	BCL-g2	BCL-g3	BCL-g3	BCL-g3	H1-g1	H1-g1	H1-g1	H1-g2	H1-g2	H1-g2	H1-g3	H1-g3	H1-g3	H2-g1	H2-g1	H2-g1	H2-g2	H2-g2	H2-g2	H2-g3	H2-g3	H2-g3	BCL-g4	BCL-g4	BCL-g4	H1-g4	H1-g4	H1-g4	H2-g4	H2-g4	H2-g4	H3-g4	H3-g4	H3-g4	TRAC-g4	TRAC-g4	TRAC-g4
A21	0	0	1	0	3	0	0	0	0										1	1	1							0	1.11	0												
A20							0	2	0	8	16	11										0	0	0																		
A19	10	8	11																22	24	18	0	0	1				19.78	27.761	25.14												
A18	1	2	1																			1	0	0				1.9	9.406	7.04							16.9	22.93	17.06	0.99	0	4.48
A17																			27	33	26	2	5	4										7.368	4.408	1.8						
A16													3	10	9	1	0	0	12	14	11	9	10	10				42.94	46.223	42.594												
A15				5	5	7	17	25	20				5	15	14	0	0	1	8	10	7				15	16	16	17.3	22.06	18.83												
A14				4	4	5				8	13	8	24	36	32										13	13	13															
A13				3	4	4	32	38	36							2	0	0				7	7	8	14	14	13	39.15	41.58	41.417												
A12	38	33	32							8	14	9	23	46	41				43	48	35				16	14	14				15	10	17	28.948	24.958	12.76						
A11							25	33	28													21	20	23																		
A10																			52	53	40				13	14	16	41.91	48.578	44.662												
A9																																		44.827	39.867	27.06	50.13	54.81	43.52			
A8													8	16	14				21	24	17							0	0	7.35										5.01	9.107	6.37
A7	14	11	11	3	2	5	28	39	35													4	6	4							1	0	1									
A6				0	7	0	3	5	6	2	4	3				1	0	0													0	1	0				27.77	39.54	30.16			
A5				0	1	0							6	7	9																									0.18	2.453	0.62
A4							0	0	1							0	0	0				0	0	0	0	0	1													0	0.928	1.16
A3							3	0	0																															1.05	0	1.59
A2				0	0	0										1	0	0							0	0	1				0	0	0							0	0	0.18
A1							0	0	0							2	0	0				0	0	0				0	0	0				0.424	0	0.1	1.01	0.53	0	0	0	0.16
