	BCL-g1	BCL-g1	BCL-g1	BCL-g2	BCL-g2	BCL-g2	BCL-g3	BCL-g3	BCL-g3	H1-g1	H1-g1	H1-g1	H1-g2	H1-g2	H1-g2	H1-g3	H1-g3	H1-g3	H2-g1	H2-g1	H2-g1	H2-g2	H2-g2	H2-g2	H2-g3	H2-g3	H2-g3
A22	4	4	8				2	1	0							0	0	1							15	30	38
A21	1	1	2	0	1	0							0	1	1							0	0	0			
A20				3	3	0	0	1	0																9	18	27
A19				1	2	0				1	0	0	5	4	13												
A18							0	2	0													0	0	0	3	7	12
A17																											
A16																2	1	5							16	32	43
A15										2	0	0				0	0	1									
A14										0	0	0				0	1	1							11	27	37
A13	1	0	0	7	0	5	0	0	1																		
A12				5	5	0																					
A11				1	0	0							64	44	66	2	2	7									
A10										6	3	3				0	0	1									
A9																			44	43	47				2	12	21
A8	2	1	5	9	4	12	1	1	0	0	1	0				4	5	10	3	3	5	0	0	0	0	1	6
A7																			0	1	1						
A6	2	1	3	0	1	3				10	10	7										0	0	0	0	3	0
A5													3	0	2							0	0	0			
A4										0	0	0				0	0	1	0	0	1	1	0	0			
A3							0	2	1										0	0	0	1	1	0	0	0	0
A2				0	0	0	0	0	0										0	0	2				0	1	1
A1	2	0	2				0	0	0																		
