	BCL-g1	BCL-g1	BCL-g1	BCL-g2	BCL-g2	BCL-g2	BCL-g3	BCL-g3	BCL-g3	H1-g1	H1-g1	H1-g1	H1-g2	H1-g2	H1-g2	H1-g3	H1-g3	H1-g3	H2-g1	H2-g1	H2-g1	H2-g2	H2-g2	H2-g2	H2-g3	H2-g3	H2-g3	PCSK9-g1	PCSK9-g1	PCSK9-g1	H3-g1	H3-g1	H3-g1	H4-g1	H4-g1	H4-g1	TRAC-g1	TRAC-g1	TRAC-g1	BCL-g4	BCL-g4	BCL-g4	H1-g4	H1-g4	H1-g4	H2-g4	H2-g4	H2-g4	H3-g4	H3-g4	H3-g4	TRAC-g4	TRAC-g4	TRAC-g4
A23				3	0	0										1	1	0							0	0	1							0	0		0	0								0.14	3.52	1.943						
A22				0	10	0																1	1	1	1	1	0	0	0	0	4	2								0.27	0	0.652	2	1	1				1.85	1.84	0.549			
A21	3	0	0	0	1	1																0	0	2				0	0	0							24	28		0	0	0.745												
A20	4	0	0													9	11	15				1	2	0	16	12	18	3	4	5							4	5																
A19										33	33					2	2	3				2	3	2							19	20		15	20					53.27	56.95	43.2												
A18				5	5	9																3	3	4				11	10	13										6.96	9.05	9.07							9.53	9.5	5.792	1.85	1.85	2.9
A17	8	0	0													21	28	34													6	9														19.03	28.01	15.699						
A16	5	1	2	9	12	10	25	28	22										58	50	53										5	7		9	11					40.52	46.6	30.264												
A15	4	2	3							10	13								9	11	14	4	3	4							6	7								7.85	9.38	0												
A14							40	42	32										10	10	13				8	6	9	6	6	8							4	4																
A13	17	17	20				10	9	7							24	31	39				26	25	20							26	27		16	21					45.16	53.44	35.227												
A12	5	3	5	0	1	2																			19	15	23										8	10					54	55	55	9.05	15.45	8.167						
A11										11	13		8	7	7				7	8	9										9	13		7	13																			
A10							29	33	24										6	6	7							23	23	29				0	0					35.88	45.19	27.382												
A9				8	15	11	0	6	6										11	11	10	4	5	3													14	18								41.95	56.51	31.517	23.81	27.24	16.631			
A8																															6	8								40.67	46.32	26										1.87	5.53	3.85
A7				10	10	13	4	4	2				13	23	11	13	17	22													0	3		2	3								5	5	4									
A6	23	21	24	3	0	2				14	15											17	17	16	3	2	3							4	7		12	13					6	7	6				25.66	37.16	21.763			
A5													4	14	3	6	5	6																5	8		0	0														0	3.78	1.92
A4				0	1	1	0	1	2										1	0	1																															0.62	1.78	1.43
A3																3	0	1	0	0	2	0	0	0																												0	0	2.53
A2				0	0	0	0	1	0																						3	4					0	0		1.76	0	0	1	0	0							0	0	0
A1	2	1	2							0	0								0	0	2																									0	0	0.076	1.3	0	0	0	0	2.5
